ngram,Hop,Hopr,Hopd,Hopx,Hozp,Hopn
1644,1.0346812311062031e-06,0.0,0.0,0.0,0.0,0.0
1645,7.471228725210364e-07,0.0,0.0,0.0,0.0,0.0
1646,7.699910530131351e-07,0.0,0.0,0.0,0.0,0.0
1647,6.671829981184731e-07,0.0,0.0,0.0,0.0,0.0
1648,1.0520804007033542e-06,0.0,0.0,0.0,0.0,0.0
1649,8.361807317669445e-07,0.0,0.0,0.0,0.0,0.0
1650,8.77618698983237e-07,0.0,0.0,0.0,0.0,0.0
1651,9.149574761327781e-07,0.0,0.0,0.0,0.0,0.0
1652,1.1441976377162583e-06,0.0,0.0,0.0,0.0,0.0
1653,1.1188350055947791e-06,0.0,0.0,0.0,0.0,0.0
1654,1.2018013779067717e-06,0.0,0.0,0.0,0.0,0.0
