ngram,understanding,understadning,understading,uderstanding
1537,1.8591844017074826e-05,0.0,0.0,0.0
1538,1.8591844017074826e-05,0.0,0.0,0.0
1539,8.00559671785907e-06,0.0,0.0,0.0
1540,8.00559671785907e-06,0.0,0.0,0.0
1541,5.196655333098274e-06,0.0,0.0,0.0
1542,1.1965476103016823e-05,0.0,0.0,0.0
1543,1.1518211717235058e-05,0.0,0.0,0.0
1544,1.4300310275367728e-05,0.0,0.0,0.0
1545,2.4213354533588116e-05,0.0,0.0,0.0
1546,2.4240376920455935e-05,0.0,0.0,0.0
1547,2.4240376920455935e-05,0.0,0.0,0.0
1548,2.7212796339881606e-05,0.0,0.0,0.0
1549,2.9098837850532228e-05,0.0,0.0,0.0
1550,3.7204023361222684e-05,0.0,0.0,0.0
1551,3.6783121946168e-05,0.0,0.0,0.0
1552,3.408118781018337e-05,0.0,0.0,0.0
1553,3.156383198594475e-05,0.0,0.0,0.0
1554,3.156383198594475e-05,0.0,0.0,0.0
1555,3.520224787020457e-05,0.0,0.0,0.0
1556,3.261533830872005e-05,0.0,0.0,0.0
1557,2.4510152798029594e-05,0.0,0.0,0.0
1558,2.896944248017722e-05,0.0,0.0,0.0
1559,2.347755564967104e-05,0.0,0.0,0.0
1560,2.7515767734647462e-05,0.0,0.0,0.0
1561,2.7515767734647462e-05,0.0,0.0,0.0
1562,2.090493243096197e-05,0.0,0.0,0.0
1563,1.257792220193161e-05,0.0,0.0,0.0
1564,1.257792220193161e-05,0.0,0.0,0.0
1565,8.792837304229448e-06,0.0,0.0,0.0
1566,7.073614012499872e-06,0.0,0.0,0.0
1567,3.7177992453507613e-06,0.0,0.0,0.0
1568,3.7177992453507613e-06,0.0,0.0,0.0
1569,9.659441859964448e-06,0.0,0.0,0.0
1570,9.659441859964448e-06,0.0,0.0,0.0
1571,1.4563145214196993e-05,0.0,0.0,0.0
1572,1.1527743286673545e-05,0.0,0.0,0.0
1573,1.1527743286673545e-05,0.0,0.0,0.0
1574,1.1390057514810386e-05,0.0,0.0,0.0
1575,1.1390057514810386e-05,0.0,0.0,0.0
1576,1.0405900054268256e-05,0.0,0.0,0.0
1577,1.0405900054268256e-05,0.0,0.0,0.0
1578,1.1043198063427034e-05,0.0,0.0,0.0
1579,1.168995286856703e-05,0.0,0.0,0.0
1580,1.168995286856703e-05,0.0,0.0,0.0
1581,1.1145241322602878e-05,0.0,0.0,0.0
1582,1.1145241322602878e-05,0.0,0.0,0.0
1583,1.2195538796991709e-05,0.0,0.0,0.0
1584,2.2984877562391504e-05,0.0,0.0,0.0
1585,1.838746662282834e-05,0.0,0.0,0.0
1586,2.0616287201846717e-05,0.0,0.0,0.0
1587,2.8230037384803707e-05,0.0,0.0,0.0
1588,2.95690490150134e-05,0.0,0.0,0.0
1589,3.218321951083324e-05,0.0,0.0,0.0
1590,3.137495001023386e-05,0.0,0.0,0.0
1591,2.138521163682786e-05,0.0,0.0,0.0
1592,2.1038593006648754e-05,0.0,0.0,0.0
1593,2.061906155047057e-05,0.0,0.0,0.0
1594,1.5352153565930037e-05,0.0,0.0,0.0
1595,1.4914736116874597e-05,0.0,0.0,0.0
1596,1.3773493200070724e-05,0.0,0.0,0.0
1597,1.0147787244412549e-05,0.0,0.0,0.0
1598,1.872577675905112e-05,0.0,0.0,0.0
