ngram,muscle,musle,mscle,mscle
1963,2.4735111635111805e-05,2.5753559285135452e-09,3.6480060341562547e-10,3.6480060341562547e-10
1964,2.4132167059828396e-05,2.433605602750585e-09,3.7004349782789245e-10,3.7004349782789245e-10
1965,2.4508307303351883e-05,2.4635247809966033e-09,4.0794545122909854e-10,4.0794545122909854e-10
1966,2.4446125150591668e-05,2.3722030688994825e-09,4.394064675608941e-10,4.394064675608941e-10
1967,2.4472756194882095e-05,2.3286235162345292e-09,4.0589970273785525e-10,4.0589970273785525e-10
1968,2.4555262695815016e-05,2.2487160387742377e-09,4.422457558891527e-10,4.422457558891527e-10
1969,2.4741743670477134e-05,2.3286694477470907e-09,4.4264855273265114e-10,4.4264855273265114e-10
1970,2.5245551764133518e-05,2.199003503098952e-09,4.5988229890880916e-10,4.5988229890880916e-10
1971,2.6211372512209762e-05,2.2155906157347462e-09,4.776992809255428e-10,4.776992809255428e-10
1972,2.7392216777246047e-05,2.01806972720066e-09,4.333846020149983e-10,4.333846020149983e-10
1973,2.837334380144187e-05,2.075109401771564e-09,4.5275715319727436e-10,4.5275715319727436e-10
1974,2.9490217327422996e-05,2.1554500565354064e-09,5.57977517364908e-10,5.57977517364908e-10
1975,3.020405659169358e-05,2.1432815046549892e-09,5.807039809330966e-10,5.807039809330966e-10
1976,3.090124508681973e-05,2.0385505188664457e-09,6.374717936059276e-10,6.374717936059276e-10
1977,3.1658717489335686e-05,2.2271735566903317e-09,6.132448953406161e-10,6.132448953406161e-10
1978,3.2624015667741855e-05,2.2745108336457473e-09,7.080001505700904e-10,7.080001505700904e-10
1979,3.2666565987580854e-05,2.2493508008584027e-09,7.718862691876081e-10,7.718862691876081e-10
1980,3.3310954417434656e-05,2.19305862358965e-09,7.978090727738569e-10,7.978090727738569e-10
1981,3.35874200183233e-05,2.311239929600869e-09,7.524122198303879e-10,7.524122198303879e-10
1982,3.425830852523047e-05,2.6020140010883453e-09,7.331346402977041e-10,7.331346402977041e-10
1983,3.5118675961192434e-05,2.7870967755916354e-09,7.081868187113522e-10,7.081868187113522e-10
1984,3.543969173084146e-05,2.810083182020711e-09,7.462080160130264e-10,7.462080160130264e-10
1985,3.535729878681845e-05,2.9231128945943804e-09,7.530965771630958e-10,7.530965771630958e-10
1986,3.5610633079029087e-05,3.212459758523372e-09,7.547222291570677e-10,7.547222291570677e-10
1987,3.543322080596616e-05,3.351644422317739e-09,7.552455089892313e-10,7.552455089892313e-10
1988,3.5054986385927934e-05,3.2508503508158324e-09,7.489600051258094e-10,7.489600051258094e-10
1989,3.424499949947598e-05,2.868516678157716e-09,6.370280964435831e-10,6.370280964435831e-10
1990,3.295475575474224e-05,2.6817722169931405e-09,5.533654065724227e-10,5.533654065724227e-10
1991,3.22146006510593e-05,2.3844792013909863e-09,4.5624504620740096e-10,4.5624504620740096e-10
1992,3.162483361458206e-05,2.240487462223939e-09,3.378846651873919e-10,3.378846651873919e-10
1993,3.1026254094155903e-05,2.056829325905848e-09,2.614233636114413e-10,2.614233636114413e-10
1994,3.0352760274711598e-05,1.8241096411131252e-09,1.4718340881387475e-10,1.4718340881387475e-10
1995,3.0240514596308848e-05,1.7862985535188614e-09,1.1673637899588052e-10,1.1673637899588052e-10
1996,3.0062891060619483e-05,1.76144543395651e-09,1.5419864294160694e-10,1.5419864294160694e-10
1997,3.023237150046043e-05,1.6601602790901536e-09,1.4573130499969825e-10,1.4573130499969825e-10
1998,3.014851271083379e-05,1.7517341862774823e-09,1.6725949395343268e-10,1.6725949395343268e-10
1999,3.0147087662563926e-05,1.651485741811192e-09,1.9698165519356691e-10,1.9698165519356691e-10
