ngram,price,prce,prcie,priice
1921,0.00020056566323286721,4.9036709613505175e-09,7.175343137116081e-10,4.4386315059937887e-10
1922,0.00019696948999938156,5.016271493423525e-09,7.4989818323244e-10,4.6028829755620903e-10
1923,0.0001914750610012561,5.1563506163278456e-09,6.635383076325496e-10,4.0008084741963556e-10
1924,0.0001847471867222339,5.319985404586955e-09,5.552483512654455e-10,3.6512950004777677e-10
1925,0.00017846910798523043,5.5988369496162704e-09,3.7693018745914893e-10,3.5361889408732795e-10
1926,0.0001754187687765807,5.280177691905205e-09,4.466679189217361e-10,3.481303638221332e-10
1927,0.00017538618495953933,4.8096587030548625e-09,4.225397115531493e-10,3.012637778132543e-10
1928,0.00017563821581591452,4.506835000433236e-09,4.225397115531493e-10,1.888173446960652e-10
1929,0.0001795486771568124,4.422382555396049e-09,3.9952291673385684e-10,1.9108634714231394e-10
1930,0.00018550948672262684,4.091516141763967e-09,4.0487081346248944e-10,1.9108634714231394e-10
1931,0.00019101439517856176,4.241735153596795e-09,4.627712677348786e-10,1.6847629640588073e-10
1932,0.00019236043278527047,3.888328008778379e-09,4.870525847712668e-10,1.2246594611425062e-10
1933,0.00019247674832253585,3.6864168225950576e-09,3.500031970598323e-10,9.954298298340904e-11
1934,0.00019294122051048492,3.5927582813550477e-09,3.719300621453568e-10,7.680460434311698e-11
1935,0.00019148525981498615,3.5365705602125833e-09,5.052640567842254e-10,7.680460434311698e-11
1936,0.0001916921028168872,2.9786742279063513e-09,5.427905545664555e-10,4.7170442155472105e-11
1937,0.0001899532736777993,3.158551134926516e-09,5.781054365375634e-10,9.205527610031287e-11
1938,0.0001912811421789229,2.680573096824901e-09,4.469403894599314e-10,1.3107901867101138e-10
1939,0.00019553381883140122,2.6097649121124634e-09,4.743359752598256e-10,1.3107901867101138e-10
1940,0.0001996986913062366,2.4764819718723986e-09,4.280016579245276e-10,1.568722810382387e-10
1941,0.0002062997581171138,2.775796069189239e-09,4.433337427326275e-10,1.568722810382387e-10
1942,0.0002121077018922993,3.2973917881865387e-09,3.3490779395771245e-10,1.8178032690219226e-10
1943,0.00021368000307120383,3.6039290599429054e-09,3.579087998195618e-10,1.8229621978615995e-10
1944,0.000212803395697847,3.4412664146848168e-09,2.8711045445868015e-10,1.3741138584131918e-10
1945,0.00020935042162558863,3.5901838327642312e-09,3.058798750002875e-10,7.215463345858605e-11
1946,0.00020487214871016995,3.4647075367441207e-09,2.6429400533180466e-10,8.87027376153934e-11
1947,0.0001986315453125696,3.628019979678194e-09,3.9674981355819483e-10,6.29094752481661e-11
1948,0.00019678625228282596,3.480227122360751e-09,3.3111410637141706e-10,8.000947523559684e-11
1949,0.00019385195628274232,3.1878574383422833e-09,3.4021838521017655e-10,7.21075917229998e-11
1950,0.0001885587179068742,3.1207502613840786e-09,2.713250596420025e-10,1.014141945024757e-10
1951,0.00018561193012698953,3.069883553712722e-09,2.6890283551437935e-10,1.179632929036524e-10
1952,0.00018507598101028373,3.1087053566279467e-09,2.658173641518451e-10,1.3364724208272553e-10
1953,0.00018421909148206135,3.0749799214849614e-09,3.2685657751813883e-10,1.4847761115837395e-10
1954,0.00018659270218839602,2.9763245201763766e-09,3.105284164726742e-10,1.7750952295360533e-10
1955,0.00018240205619284616,2.846526807915544e-09,3.6589967563774705e-10,1.749037749949294e-10
1956,0.00018013897351920605,2.5135949036477913e-09,4.261633902911756e-10,1.7136561812426875e-10
1957,0.00017798545637301037,2.290533873683387e-09,4.3473086638482327e-10,1.333494158349348e-10
1958,0.00017878483881109526,2.300057049582043e-09,4.300835758958803e-10,1.1680031743375808e-10
1959,0.00017569256929813752,2.2474143022778647e-09,4.1439962671680723e-10,1.3499818624085336e-10
1960,0.00017434091880984073,2.304204684198753e-09,3.308520659820299e-10,1.459711567889218e-10
1961,0.0001707644114503637,2.428555626440446e-09,2.4849112648503025e-10,1.2819481389124221e-10
1962,0.0001661302168421181,2.5902235911701155e-09,1.8622162343908044e-10,1.137005618624874e-10
1963,0.00016340131904663785,2.6801778574281343e-09,1.5136872509393028e-10,1.299441268872873e-10
1964,0.0001623771822778508,2.8981983479781093e-09,1.4386789378865013e-10,1.261937112346472e-10
1965,0.00015957850181231542,3.272795875578335e-09,1.4959624907876342e-10,1.3500879283582075e-10
1966,0.00015748720865563622,3.276987570188794e-09,2.0235467765702556e-10,1.187131177090731e-10
1967,0.00015490299639558152,3.4813165683544867e-09,2.625242483717776e-10,9.405103184351965e-11
1968,0.00015391489224774496,3.3982705221242374e-09,6.00732277414703e-10,1.1822162891496545e-10
1969,0.00015466348642283783,3.439044572926621e-09,7.072300364388947e-10,1.5412917172711157e-10
1970,0.0001572124975999551,3.508808640465385e-09,7.179629668563337e-10,1.2441760122161583e-10
1971,0.00016296480524553253,3.39015682193633e-09,7.178781477997934e-10,1.3332609222998267e-10
1972,0.00016825090902524868,3.3193589147170346e-09,7.785069870504455e-10,1.245110106288091e-10
1973,0.00017164805779300098,3.3347586279676632e-09,7.835272371391002e-10,1.069248677693884e-10
1974,0.00017534700080951943,3.0694596071206045e-09,7.209173084887777e-10,1.3812052890305182e-10
1975,0.00017859766791973795,3.1176847770097993e-09,3.975995708267137e-10,1.270228624664479e-10
1976,0.00018286179900834604,3.1349535031413976e-09,3.130457802702491e-10,1.1522461358064767e-10
1977,0.00018392476860234247,3.1605236840346963e-09,2.5894253061209405e-10,1.553566699888772e-10
1978,0.00018170067882497927,3.413691361332992e-09,2.4104072953882015e-10,1.3745486891560332e-10
1979,0.00017861700533623143,3.1510948453724754e-09,1.7903712887235024e-10,1.9434877516845616e-10
1980,0.00017835119589498,3.1995110053425637e-09,1.526057598740963e-10,2.413697416539914e-10
1981,0.0001771076619791399,3.44688119316824e-09,1.597178540218331e-10,2.2300391691995206e-10
1982,0.0001745030250666397,3.6982372085349523e-09,1.3329533905220055e-10,2.1349840744517527e-10
1983,0.0001718490883441908,3.765104577319838e-09,1.0114961447791972e-10,1.0998972903099512e-09
1984,0.0001684531058085018,4.283200651298915e-09,9.244738605592876e-11,1.1259205730450107e-09
1985,0.0001659306581132114,4.1187927671667725e-09,1.141496113902082e-10,1.1331546479912254e-09
1986,0.0001634900046545746,4.50120214117484e-09,1.3243698300722884e-10,1.0831692968155909e-09
1987,0.00016079746793755994,4.610503439345897e-09,1.3452700957174357e-10,1.049523265418089e-09
1988,0.00015793443890288472,4.6565608194778665e-09,1.2619882222564272e-10,1.0397983005370838e-09
